1,0.003019270111
2,0.003017820201
3,0.003020982179
4,0.009029481261
5,0.0096887142
6,0.0097239362
7,0.009928345416
8,0.0099490307
9,0.0099567856
10,0.0125958678
11,0.0158453331
12,0.0153932812
13,0.0171506967
14,0.0171790291
15,0.1863724741
16,0.2001697125
17,0.2111320505
18,0.2342574119
19,0.2510855978
20,0.2520053764
21,0.2596877875
22,0.2782126653
23,0.2965119377
24,0.3084248283
25,0.3180821956
26,0.3240757561
27,0.3286734556
28,0.3393056577
29,0.3670069614
30,0.3770915009
31,0.3821438051
32,0.4211211787
33,0.4307860236
34,0.4388665437
35,0.4393582966
36,0.4452358716
37,0.4901835837
38,0.5097594958
39,0.5098117125
40,0.5198722701
41,0.5268250303
42,0.5309729402
43,0.533280971
44,0.5341678759
45,0.5352665375
46,0.5383682096
47,0.5413709533
48,0.5803324135
49,0.6026496428
50,0.6261179602
51,0.6652335401
52,0.6667890377
53,0.6667943149
54,0.6867982989
55,0.6965406022
56,0.7161561533
57,0.7226800824
58,0.725480247
59,0.7268164272
60,0.7376107657
61,0.7391702354
62,0.7617514136
63,0.7658071413
64,0.7874991546
65,0.7967069211
66,0.8015800608
67,0.8041004781
68,0.8397333162
69,0.8573234865
70,0.8655766432
71,0.874286239
72,0.8896482536
73,0.8950353817
74,0.8962383189
75,0.8938974263
76,0.9043608728
77,0.8113784321
78,0.9113941296
79,0.8148504408
80,0.9080842631
81,0.9203487687
82,0.9006816354
83,0.941937468
84,0.9158208526
85,0.8650691683
